School_code|AgeID|School_name|Street|Town_suburb|Postcode|Phone|School_Email|Fax|Student_number|Indigenous_pct|LBOTE_pct|ICSEA_value|Level_of_schooling|Selective_school|Opportunity_class|School_specialty_type|School_subtype|Support_classes|Preschool_ind|Distance_education|Intensive_english_centre|School_gender|Late_opening_school|Date_1st_teacher|LGA|Electorate|Fed_electorate|Operational_directorate|Principal_network|FACS_district|Local_health_district|AECG_region|ASGS_remoteness|Latitude|Longitude|Assets unit|Date_extracted
2671|9740|Mummulgum Public School|Bruxner Hwy|Mummulgum|2469|6664 7205|mummulgum-p.school@det.nsw.edu.au|6664 7323|22.0|np|0.0|893|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1901-08-01|Kyogle (A)|Lismore|Page|Tamworth|Clarence Valley|Mid North Coast & Northern NSW|Northern NSW|Upper North Coast|Inner Regional Australia|-28.848015|152.801645|North Coast|2017-11-03
2675|6408|Mungindi Central School|Wirrah Street|Mungindi|2406|02 6753 2207|mungindi-c.school@det.nsw.edu.au|02 6753 2346|69.8|70.0|71.0|793|Central/Community School|Not Selective|N|Comprehensive|Kinder to Year 12||Y|N|N|Coed|Y|1893-01-01|Moree Plains (A)|Northern Tablelands|Parkes|Tamworth|Barwon|Hunter New England & Central Coast|Hunter New England|North Western 1|Remote Australia|-28.9802|148.99085|North Western NSW|2017-11-03
2681|10289|Murringo Public School|91 Murringo Gap Road|Murringo|2586|6384 6351|murringo-p.school@det.nsw.edu.au|6384 6322|37.0|22.0|0.0|939|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1860-03-01|Young (A)|Cootamundra|Riverina|Wagga Wagga|Southern Tablelands|Murrumbidgee, Far West & Western NSW|Murrumbidgee|Riverina 1 |Outer Regional Australia|-34.297202|148.515471|Southern NSW|2017-11-03
2685|10286|Murrumburrah Public School|Albury Street|Murrumburrah|2587|6386 2209|murrumburr-p.school@det.nsw.edu.au|6386 2993|147.0|19.0|7.0|915|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1862-01-01|Harden (A)|Cootamundra|Riverina|Wagga Wagga|Cootamundra|Murrumbidgee, Far West & Western NSW|Murrumbidgee|Riverina 1 |Inner Regional Australia|-34.550826|148.359862|Southern NSW|2017-11-03
2686|9341|Murrurundi Public School|135 Mayne Street|Murrurundi|2338|6546 6057|murrurundi-p.school@det.nsw.edu.au|6546 6596|50.0|18.0|np|851|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1849-07-01|Upper Hunter Shire (A)|Upper Hunter|New England|Tamworth|Wollemi|Hunter New England & Central Coast|Hunter New England|Hunter|Outer Regional Australia|-31.762783|150.832187|Hunter/Central Coast|2017-11-03
2687|9917|Murwillumbah Public School|Prince St|Murwillumbah |2484|6672 1467|murwillumb-p.school@det.nsw.edu.au|6672 1008|305.0|15.0|9.0|967|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1872-01-01|Tweed (A)|Lismore|Richmond|Tamworth|Tweed|Mid North Coast & Northern NSW|Northern NSW|Upper North Coast|Inner Regional Australia|-28.329886|153.391139|North Coast|2017-11-03
2688|9325|Muswellbrook Public School|Roger St|Muswellbrook |2333|6543 2500|muswellbro-p.school@det.nsw.edu.au|6543 3378|600.0|12.0|4.0|937|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1862-02-01|Muswellbrook (A)|Upper Hunter|Hunter|Tamworth|Wollemi|Hunter New England & Central Coast|Hunter New England|Hunter|Inner Regional Australia|-32.25843|150.896369|Hunter/Central Coast|2017-11-03
2695|9606|Nabiac Public School|Clarkson Street|Nabiac|2312|6554 1247|nabiac-p.school@det.nsw.edu.au|6554 1522|199.0|16.0|np|904|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1869-03-01|Great Lakes (A)|Myall Lakes|Lyne|Tamworth|Great Lakes|Hunter New England & Central Coast|Hunter New England|Manning|Inner Regional Australia|-32.097544|152.381902|North Coast|2017-11-03
2696|9653|Nambucca Heads Public School|Ridge St|Nambucca Heads |2448|6568 6411|nambuccahd-p.school@det.nsw.edu.au|6568 8205|293.0|20.0|7.0|926|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1884-06-01|Nambucca (A)|Oxley|Cowper|Tamworth|Mid North Coast|Mid North Coast & Northern NSW|Mid North Coast|Lower North Coast|Outer Regional Australia|-30.641695|153.006338|North Coast|2017-11-03
2698|9660|Nana Glen Public School|Coffs Harbour-Grafton Rd|Nana Glen |2450|6654 3202|nanaglen-p.school@det.nsw.edu.au|6654 3549|126.0|8.0|5.0|969|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1892-01-01|Coffs Harbour (C)|Coffs Harbour|Page|Tamworth|Coffs Harbour|Mid North Coast & Northern NSW|Mid North Coast|Lower North Coast|Outer Regional Australia|-30.135619|153.006206|North Coast|2017-11-03
2699|10659|Nangus Public School|Gundagai-Junee Rd|Nangus |2722|6944 7221|nangus-p.school@det.nsw.edu.au|6944 7258|26.0|0.0|np|996|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1935-03-01|Gundagai (A)|Cootamundra|Riverina|Wagga Wagga|Cootamundra|Murrumbidgee, Far West & Western NSW|Murrumbidgee|Riverina 1|Outer Regional Australia|-35.053902|147.909106|Southern NSW|2017-11-03
2701|10530|Naradhan Public School|Kooba St|Naradhan |2669|6896 9808|naradhan-p.school@det.nsw.edu.au|6896 9852|13.0|np|0.0|1056|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|Y|1929-08-01|Bland (A)|Cootamundra|Riverina|Wagga Wagga|Griffith|Murrumbidgee, Far West & Western NSW|Murrumbidgee|Riverina 1|Remote Australia|-33.615639|146.327405|Southern NSW|2017-11-03
2703|8684|Narara Public School|Newling St|Lisarow |2250|4328 3024|narara-p.school@det.nsw.edu.au|4329 1472|400.0|6.0|9.0|1002|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1889-08-01|Gosford (C)|The Entrance|Dobell|Macquarie Park|Gosford|Hunter New England & Central Coast|Central Coast|Central Coast|Major Cities of Australia|-33.387915|151.362616|Hunter/Central Coast|2017-11-03
2704|10217|Narellan Public School|Camden Valley Way|Narellan|2567|4646 1223|narellan-p.school@det.nsw.edu.au|4647 1551|318.0|10.0|14.0|950|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1875-01-01|Camden (A)|Camden|Hume|Ultimo|Macarthur|South Western Sydney|South Western Sydney|Dharawal|Major Cities of Australia|-34.042764|150.733769|South Western Sydney|2017-11-03
2706|7714|Narrabeen Lakes Public School|1299 Pittwater Rd|Narrabeen |2101|9913 7077|narrablks-p.school@det.nsw.edu.au|9913 3754|431.0|2.0|26.0|1063|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1889-04-01|Warringah (A)|Pittwater|Mackellar|Macquarie Park|Warringah|South Eastern Sydney, Northern Sydney & Sydney|Northern Sydney|Metropolitan North|Major Cities of Australia|-33.720323|151.297413|Northern Sydney|2017-11-03
2708|9494|Narrabri Public School|Barwan St|Narrabri |2390|6792 2246|narrabri-p.school@det.nsw.edu.au|6792 4160|403.0|34.0|4.0|895|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|Y|1868-01-01|Narrabri (A)|Barwon|Parkes|Tamworth|Tamworth|Hunter New England & Central Coast|Hunter New England|North Western 1|Outer Regional Australia|-30.324942|149.785252|North Western NSW|2017-11-03
2709|9495|Narrabri West Public School|6 Cooma Rd|Narrabri |2390|6792 2377|narrabriw-p.school@det.nsw.edu.au|6792 4395|348.0|22.0|2.0|934|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||Y|N|N|Coed|Y|1884-07-01|Narrabri (A)|Barwon|Parkes|Tamworth|Tamworth|Hunter New England & Central Coast|Hunter New England|North Western 1|Outer Regional Australia|-30.344469|149.763906|North Western NSW|2017-11-03
2710|10551|Narrandera Public School|Adam St|Narrandera |2700|6959 2144|narrandera-p.school@det.nsw.edu.au|6959 3274|268.0|31.0|3.0|863|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1873-07-01|Narrandera (A)|Cootamundra|Farrer|Wagga Wagga|Wagga Wagga|Murrumbidgee, Far West & Western NSW|Murrumbidgee|Riverina 1|Outer Regional Australia|-34.744466|146.547854|Southern NSW|2017-11-03
2713|11033|Narromine Public School|Meryula St|Narromine |2821|02 6889 4566|narromine-p.school@det.nsw.edu.au|02 6889 4451|298.0|60.0|np|833|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1883-01-01|Narromine (A)|Dubbo|Parkes|Wagga Wagga|Lachlan|Murrumbidgee, Far West & Western NSW|Western NSW|Western 1|Outer Regional Australia|-32.229903|148.244421|North Western NSW|2017-11-03
2714|11009|Nashdale Public School|Cargo Rd|Nashdale |2800|6365 3161|nashdale-p.school@det.nsw.edu.au|6365 3327|119.0|np|5.0|1076|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1888-08-01|Cabonne (A)|Orange|Calare|Wagga Wagga|Orange|Murrumbidgee, Far West & Western NSW|Western NSW|Western 1|Inner Regional Australia|-33.293794|149.013466|North Western NSW|2017-11-03
2723|15819|Tomaree Public School|Salamander Way|Salamander Bay|2317|4981 1595|tomaree-p.school@det.nsw.edu.au|4984 1524|359.0|6.0|6.0|988|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1886-01-01|Port Stephens (A)|Port Stephens|Paterson|Tamworth|Callaghan/Port Stephens|Hunter New England & Central Coast|Hunter New England|Hunter|Inner Regional Australia|-32.737699|152.113091|Hunter/Central Coast|2017-11-03
2725|9348|Nemingha Public School|145 Nundle Rd|Nemingha |2340|6760 9225|nemingha-p.school@det.nsw.edu.au|6760 9479|209.0|4.0|np|1014|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1877-05-01|Tamworth Regional (A)|Tamworth|New England|Tamworth|Tamworth|Hunter New England & Central Coast|Hunter New England|North Western 2|Inner Regional Australia|-31.126524|151.004156|North Western NSW|2017-11-03
2730|5502|Neutral Bay Public School|Ben Boyd Rd|Neutral Bay |2089|9953 1798|neutralbay-p.school@det.nsw.edu.au|9904 1479|980.0|0.0|39.0|1182|Primary School|Not Selective|Y|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1886-06-01|North Sydney (A)|North Shore|Warringah|Macquarie Park|North Sydney|South Eastern Sydney, Northern Sydney & Sydney|Northern Sydney|Metropolitan North|Major Cities of Australia|-33.83261|151.219605|Northern Sydney|2017-11-03
2732|11000|Neville Public School|Crouch St|Neville |2799|6368 8488|neville-p.school@det.nsw.edu.au|6368 8485|19.0|0.0|0.0|942|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1858-02-01|Blayney (A)|Bathurst|Calare|Wagga Wagga|Bathurst|Murrumbidgee, Far West & Western NSW|Western NSW|Western 1|Outer Regional Australia|-33.708658|149.216784|North Western NSW|2017-11-03
2736|9123|Newcastle East Public School|Tyrrell St|Newcastle |2300|4929 2911|newcastlee-p.school@det.nsw.edu.au|4929 6835|241.0|np|19.0|1160|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1883-01-01|Newcastle (C)|Newcastle|Newcastle|Tamworth|Newcastle|Hunter New England & Central Coast|Hunter New England|Hunter|Major Cities of Australia|-32.930285|151.776915|Hunter/Central Coast|2017-11-03
2738|9148|New Lambton Public School|Regent St|New Lambton |2305|4957 1511|newlambton-p.school@det.nsw.edu.au|4956 1695|601.0|1.0|23.0|1123|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1880-03-01|Newcastle (C)|Wallsend|Newcastle|Tamworth|Newcastle|Hunter New England & Central Coast|Hunter New England|Hunter|Major Cities of Australia|-32.922604|151.712784|Hunter/Central Coast|2017-11-03
2740|7717|Newport Public School|Stuart St|Newport |2106|9999 3588|newport-p.school@det.nsw.edu.au|9979 6928|833.0|np|10.0|1092|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1888-04-01|Pittwater (A)|Pittwater|Mackellar|Macquarie Park|Warringah|South Eastern Sydney, Northern Sydney & Sydney|Northern Sydney|Metropolitan North|Major Cities of Australia|-33.660561|151.312237|Northern Sydney|2017-11-03
2741|9774|Newrybar Public School|Pacific Hwy|Newrybar |2479|6687 1343|newrybar-p.school@det.nsw.edu.au|6687 2072|26.0|0.0|np|1033|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1890-01-01|Ballina (A)|Ballina|Richmond|Tamworth|Richmond Valley|Mid North Coast & Northern NSW|Northern NSW|Upper North Coast|Inner Regional Australia|-28.717114|153.533055|North Coast|2017-11-03
2744|7592|Newtown North Public School|Carillon Ave|Newtown |2042|9517 1110|newtownn-p.school@det.nsw.edu.au|9550 4607|283.0|np|27.0|1165|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1883-01-01|Sydney (C)|Newtown|Sydney|Ultimo|Marrickville|South Eastern Sydney, Northern Sydney & Sydney|Sydney|Metropolitan East|Major Cities of Australia|-33.891821|151.185392|Sydney|2017-11-03
2748|9387|Niangala Public School|Foster Street|Niangala |2354|6769 2254|niangala-p.school@det.nsw.edu.au|6769 2287|6.0|np|0.0|855|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1891-01-01|Tamworth Regional (A)|Tamworth|New England|Tamworth|Northern Tablelands|Hunter New England & Central Coast|Hunter New England|North Western 2|Outer Regional Australia|-31.298041|151.408619|North Western NSW|2017-11-03
2749|7589|Nicholson Street Public School|Nicholson St|Balmain East |2041|9810 2863|nicholson-p.school@det.nsw.edu.au|9555 7378|167.0|np|18.0|1137|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1883-01-01|Leichhardt (A)|Balmain|Grayndler|Ultimo|Port Jackson|South Eastern Sydney, Northern Sydney & Sydney|Sydney|Metropolitan East|Major Cities of Australia|-33.855744|151.193188|Sydney|2017-11-03
2751|14978|Nimbin Central School|23a Thorburn St|Nimbin |2480|6689 1355|nimbin-c.school@det.nsw.edu.au|6689 1035|211.2|21.0|15.0|974|Central/Community School|Not Selective|N|Comprehensive|Kinder to Year 12||N|N|N|Coed|N|1891-09-01|Lismore (C)|Lismore|Page|Tamworth|Richmond Valley|Mid North Coast & Northern NSW|Northern NSW|Upper North Coast|Inner Regional Australia|-28.595871|153.220891|North Coast|2017-11-03
2752|10434|Nimmitabel Public School|Wolfe Street|Nimmitabel|2631|6454 6205|nimmitabel-p.school@det.nsw.edu.au|6454 6405|30.0|0.0|0.0|993|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1869-07-01|Cooma-Monaro (A)|Monaro|Eden-Monaro|Wagga Wagga|Queanbeyan|Illawarra Shoalhaven & Southern NSW|Southern NSW|Lower South Coast|Outer Regional Australia|-36.510937|149.289599|Southern NSW|2017-11-03
2758|10177|Narooma Public School|7 Montague St|Narooma |2546|4476 2556|narooma-p.school@det.nsw.edu.au|4476 2264|441.0|19.0|6.0|957|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1889-02-01|Eurobodalla (A)|Bega|Eden-Monaro|Wagga Wagga|Far South Coast|Illawarra Shoalhaven & Southern NSW|Southern NSW|Lower South Coast|Outer Regional Australia|-36.218595|150.137335|Southern NSW|2017-11-03
2759|9134|Nords Wharf Public School|33 Marine Pde|Nords Wharf |2281|4976 1257|nordswharf-p.school@det.nsw.edu.au|4972 5046|125.0|np|np|1009|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1901-09-01|Lake Macquarie (C)|Swansea|Shortland|Tamworth|Lake Macquarie East|Hunter New England & Central Coast|Hunter New England|Hunter|Inner Regional Australia|-33.135817|151.605087|Hunter/Central Coast|2017-11-03
2760|7667|Normanhurst Public School|Normanhurst Rd|Normanhurst |2076|9489 1152|normanhurs-p.school@det.nsw.edu.au|9489 3257|362.0|np|41.0|1142|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1872-06-01|Hornsby (A)|Ku-ring-gai|Bradfield|Macquarie Park|Hornsby|South Eastern Sydney, Northern Sydney & Sydney|Northern Sydney|Metropolitan North|Major Cities of Australia|-33.723332|151.098026|Northern Sydney|2017-11-03
2761|4410|Northbridge Public School|Sailors Bay Rd|Northbridge |2063|9958 5348|northbridg-p.school@det.nsw.edu.au|9967 2169|542.0|0.0|23.0|1196|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1923-03-01|Willoughby (C)|Willoughby|North Sydney|Macquarie Park|North Sydney|South Eastern Sydney, Northern Sydney & Sydney|Northern Sydney|Metropolitan North|Major Cities of Australia|-33.813034|151.218597|Northern Sydney|2017-11-03
2763|7851|Northmead Public School|Moxhams Rd|Northmead |2152|9630 3133|northmead-p.school@det.nsw.edu.au|9890 1796|684.0|1.0|43.0|1062|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1924-01-01|Parramatta (C)|Seven Hills|Mitchell|Macquarie Park|Parramatta|Western Sydney & Nepean Blue Mountains|Western Sydney|Metropolitan West|Major Cities of Australia|-33.786511|150.990753|Western Sydney|2017-11-03
2764|16252|North Rocks Public School|359 North Rocks Rd|North Rocks|2151|9871 1772|northrocks-p.school@det.nsw.edu.au|9872 1448|803.0|1.0|57.0|1125|Primary School|Not Selective|Y|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1923-04-01|The Hills Shire (A)|Baulkham Hills|Mitchell|Macquarie Park|Dural|Western Sydney & Nepean Blue Mountains|Western Sydney|Metropolitan North|Major Cities of Australia|-33.768425|151.025148|Northern Sydney|2017-11-03
2765|9511|North Star Public School|Edward St|North Star |2408|07 4676 3128|northstar-p.school@det.nsw.edu.au|07 4676 3269|36.0|np|15.0|967|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|Y|1939-01-01|Gwydir (A)|Northern Tablelands|Parkes|Tamworth|Barwon|Hunter New England & Central Coast|Hunter New England|North Western 1|Outer Regional Australia|-28.926653|150.392891|North Western NSW|2017-11-03
2766|5500|North Sydney Public School|Bay Rd|Waverton |2060|9955 2822|nthsyddem-p.school@det.nsw.edu.au|9956 6801|881.0|np|48.0|1156|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1874-01-01|North Sydney (A)|North Shore|North Sydney|Macquarie Park|North Sydney|South Eastern Sydney, Northern Sydney & Sydney|Northern Sydney|Metropolitan North|Major Cities of Australia|-33.834819|151.203685|Northern Sydney|2017-11-03
2768|9388|Nowendoc Public School|6090 Brackendale Road|Nowendoc|2354|6777 0905|nowendoc-p.school@det.nsw.edu.au|6777 0947|6.0|np|0.0|919|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1868-04-01|Walcha (A)|Tamworth|New England|Tamworth|Northern Tablelands|Hunter New England & Central Coast|Hunter New England|North Western 2|Outer Regional Australia|-31.48295|151.71536|North Western NSW|2017-11-03
2769|10172|Nowra Public School|74 Plunkett Street|Nowra|2541|4422 0401|nowra-p.school@det.nsw.edu.au|4423 2237|628.0|22.0|3.0|908|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1862-01-01|Shoalhaven (C)|South Coast|Gilmore|Wagga Wagga|South Coast|Illawarra Shoalhaven & Southern NSW|Illawarra Shoalhaven|Upper South Coast|Inner Regional Australia|-34.879407|150.60052|Southern NSW|2017-11-03
2771|9294|Nulkaba Public School|5 O'Connors Road|Nulkaba|2325|4990 1805|nulkaba-p.school@det.nsw.edu.au|4991 1408|409.0|10.0|4.0|957|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1922-04-01|Cessnock (C)|Cessnock|Hunter|Tamworth|Hunter|Hunter New England & Central Coast|Hunter New England|Hunter|Inner Regional Australia|-32.810691|151.34781|Hunter/Central Coast|2017-11-03
2781|6438|Nundle Public School|93-97 Jenkins Street|Nundle |2340|6769 3253|nundle-p.school@det.nsw.edu.au|6769 3128|51.0|24.0|np|938|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1872-01-01|Tamworth Regional (A)|Tamworth|New England|Tamworth|Tamworth|Hunter New England & Central Coast|Hunter New England|North Western 2|Outer Regional Australia|-31.459684|151.127429|North Western NSW|2017-11-03
2784|9715|Nymboida Public School|Armidale Rd|Nymboida |2460|6649 4137|nymboida-p.school@det.nsw.edu.au|6649 4238|20.0|np|0.0|958|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1879-03-01|Clarence Valley (A)|Clarence|Page|Tamworth|Coffs Harbour|Mid North Coast & Northern NSW|Northern NSW|Upper North Coast|Outer Regional Australia|-29.947482|152.727964|North Coast|2017-11-03
2785|11035|Nyngan Public School|60 Cathundril St|Nyngan|2825|6832 1605|nyngan-p.school@det.nsw.edu.au|6832 1836|130.0|52.0|7.0|808|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|Y|1882-05-01|Bogan (A)|Barwon|Parkes|Wagga Wagga|Lachlan|Murrumbidgee, Far West & Western NSW|Western NSW|Western 2|Remote Australia|-31.568398|147.195259|North Western NSW|2017-11-03
2789|10227|Oakdale Public School|Burragorang Rd|Oakdale |2570|4659 6251|oakdale-p.school@det.nsw.edu.au|4659 6400|155.0|12.0|5.0|950|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1871-05-01|Wollondilly (A)|Wollondilly|Hume|Ultimo|Wollondilly|South Western Sydney|South Western Sydney|Dharawal|Inner Regional Australia|-34.078907|150.508197|South Western Sydney|2017-11-03
2791|6513|Oaklands Central School|Coreen St|Oaklands|2646|02 6035 4290|oaklands-c.school@det.nsw.edu.au|02 6035 4382|66.0|np|np|943|Central/Community School|Not Selective|N|Comprehensive|Kinder to Year 12||N|N|N|Coed|N|1885-01-01|Urana (A)|Albury|Farrer|Wagga Wagga|Deniliquin|Murrumbidgee, Far West & Western NSW|Murrumbidgee|Riverina 1 |Outer Regional Australia|-35.552669|146.171768|Southern NSW|2017-11-03
2793|10228|The Oaks Public School|Burragorang St|The Oaks |2570|4657 1185|theoaks-p.school@det.nsw.edu.au|4657 1704|318.0|4.0|8.0|983|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1862-01-01|Wollondilly (A)|Wollondilly|Hume|Ultimo|Wollondilly|South Western Sydney|South Western Sydney|Dharawal|Inner Regional Australia|-34.078385|150.571724|South Western Sydney|2017-11-03
2794|10785|Oakville Public School|46 Ogden Rd|Oakville|2765|4572 3142|oakville-p.school@det.nsw.edu.au|4572 3822|438.0|3.0|10.0|983|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1900-03-01|Hawkesbury (C)|Hawkesbury|Macquarie|Macquarie Park|Hawkesbury|Western Sydney & Nepean Blue Mountains|Nepean Blue Mountains|Metropolitan West|Inner Regional Australia|-33.620452|150.87054|Western Sydney|2017-11-03
2796|8637|Oatley Public School|51-63 Letitia Street|Oatley|2223|9580 5519|oatley-p.school@det.nsw.edu.au|9580 8752|533.0|1.0|48.0|1129|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1917-09-01|Kogarah (C)|Oatley|Banks|Ultimo|Georges River|South Eastern Sydney, Northern Sydney & Sydney|South Eastern Sydney|Metropolitan East|Major Cities of Australia|-33.983741|151.080332|Sydney|2017-11-03
2797|10959|Oberon Public School|15 Dart St|Oberon|2787|6336 0093|oberon-p.school@det.nsw.edu.au|6336 0095|242.0|10.0|6.0|918|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1872-04-01|Oberon (A)|Bathurst|Calare|Wagga Wagga|Bathurst|Murrumbidgee, Far West & Western NSW|Western NSW|Western 1|Inner Regional Australia|-33.703254|149.864517|North Western NSW|2017-11-03
2798|10984|O'Connell Public School|15 Black's Mill Lane|O'Connell |2795|6337 5725|oconnell-p.school@det.nsw.edu.au|6337 5638|79.0|np|np|1078|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1869-03-01|Bathurst Regional (A)|Bathurst|Calare|Wagga Wagga|Bathurst|Murrumbidgee, Far West & Western NSW|Western NSW|Western 1|Inner Regional Australia|-33.524513|149.720076|North Western NSW|2017-11-03
2799|9552|Old Bar Public School|David St|Old Bar |2430|6553 7248|oldbar-p.school@det.nsw.edu.au|6553 3038|498.0|10.0|3.0|970|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1935-08-01|Greater Taree (C)|Myall Lakes|Lyne|Tamworth|Great Lakes|Hunter New England & Central Coast|Hunter New England|Manning|Inner Regional Australia|-31.972339|152.588536|North Coast|2017-11-03
2800|9741|Old Bonalbo Public School|Duck Creek Rd|Old Bonalbo |2470|6665 3124|oldbonalbo-p.school@det.nsw.edu.au|6665 3153|19.0|32.0|0.0|883|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1920-02-01|Kyogle (A)|Lismore|Page|Tamworth|Clarence Valley|Mid North Coast & Northern NSW|Northern NSW|Upper North Coast|Outer Regional Australia|-28.654622|152.597413|North Coast|2017-11-03
2801|8145|Old Guildford Public School|Woodville Rd|Guildford |2161|9632 8286|oldguildfo-p.school@det.nsw.edu.au|9892 1987|458.0|np|96.0|887|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||Y|N|N|Coed|N|1869-07-01|Fairfield (C)|Fairfield|McMahon|Macquarie Park|Holroyd|South Western Sydney|South Western Sydney|Metropolitan South West|Major Cities of Australia|-33.867484|150.986508|South Western Sydney|2017-11-03
2811|11010|Orange East Public School|45 Spring St|Orange |2800|6362 7464|orangeeast-p.school@det.nsw.edu.au|6362 8956|265.0|17.0|4.0|915|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1890-09-01|Orange (C)|Orange|Calare|Wagga Wagga|Orange|Murrumbidgee, Far West & Western NSW|Western NSW|Western 1|Inner Regional Australia|-33.282069|149.113698|North Western NSW|2017-11-03
2812|7587|Orange Grove Public School|Perry St|Leichhardt |2040|9810 1378|orangegrov-p.school@det.nsw.edu.au|9555 8657|428.0|3.0|19.0|1125|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||Y|N|N|Coed|N|1883-03-01|Leichhardt (A)|Balmain|Grayndler|Ultimo|Port Jackson|South Eastern Sydney, Northern Sydney & Sydney|Sydney|Metropolitan East|Major Cities of Australia|-33.872278|151.158678|Sydney|2017-11-03
2814|9663|Orara Upper Public School|770 Upper Orara Road|Upper Orara|2450|6653 8255|oraraupper-p.school@det.nsw.edu.au|6653 8425|38.0|0.0|np|979|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1891-01-01|Coffs Harbour (C)|Coffs Harbour|Cowper|Tamworth|Coffs Harbour|Mid North Coast & Northern NSW|Mid North Coast|Lower North Coast|Inner Regional Australia|-30.289005|153.01324|North Coast|2017-11-03
